naam;samenvatting;thema;onderwerp;eigenaar;data url;data url error;kaart url;laagnaam
Gezondheid GES Geur veehouderij obv hinderpercentages;U ziet de gezondheidskaart met GES-scores op basis van de opgetelde geurbelasting veroorzaakt door veehouderijen.;Regionale Kaarten;Kaarten;Provincie Noord-Brabant;"=HYPERLINK("""")";Deze databron is alleen als WMS beschikbaar, gebruik kaart url om gegevens op te halen;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=Gezondheidskaart_Geur_veehouderij_obv_hinderpercentages_2013&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";Gezondheidskaart_Geur_veehouderij_obv_hinderpercentages_2013
Gezondheid GES Luchtkwaliteit fijnstof (pm10) 2013;U ziet de gezondheidskaart met GES-scores, gebaseerd op de berekende fijnstof concentraties (pm10) over het jaar 2013 in Noord-Brabant.;Regionale Kaarten;Kaarten;Provincie Noord-Brabant;"=HYPERLINK("""")";Deze databron is alleen als WMS beschikbaar, gebruik kaart url om gegevens op te halen;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=Gezondheidskaart_Luchtkwaliteit_fijnstof_PM10_2013&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";Gezondheidskaart_Luchtkwaliteit_fijnstof_PM10_2013
Gezondheid GES Geluid rijkswegen Lden;U ziet de gezondheidskaart met GES-scores, gebaseerd op de berekende blootstelling aan geluid van wegverkeer op rijkswegen in Noord-Brabant.;Regionale Kaarten;Kaarten;Provincie Noord-Brabant;"=HYPERLINK("""")";Deze databron is alleen als WMS beschikbaar, gebruik kaart url om gegevens op te halen;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=Gezondheidskaart_Geluid_rijkswegen_Lden_2013&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";Gezondheidskaart_Geluid_rijkswegen_Lden_2013
Gezondheid GES Geluid vliegverkeer vergund;U ziet de gezondheidskaart met GES-scores, gebaseerd op de berekende blootstelling aan geluid van vliegverkeer bij de vliegvelden in Noord-Brabant.;Regionale Kaarten;Kaarten;Provincie Noord-Brabant;"=HYPERLINK("""")";Deze databron is alleen als WMS beschikbaar, gebruik kaart url om gegevens op te halen;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=Gezondheidskaart_Geluid_vliegverkeer_vergund_2014&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";Gezondheidskaart_Geluid_vliegverkeer_vergund_2014
Gezondheid GES Geur industrie;U ziet de gezondheidskaart met GES-scores, gebaseerd op de berekende geuruitstoot van industriële bedrijven met vergunning van provincie Noord-Brabant.;Regionale Kaarten;Kaarten;Provincie Noord-Brabant;"=HYPERLINK("""")";Deze databron is alleen als WMS beschikbaar, gebruik kaart url om gegevens op te halen;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=Gezondheidskaart_Geur_industrie_2015&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";Gezondheidskaart_Geur_industrie_2015
Gezondheid GES Geluid industrie;U ziet de gezondheidskaart met GES-scores, gebaseerd op de berekende blootstelling aan geluid afkomstig van de geluidgezoneerde industrieterreinen in Noord-Brabant. Bronhouder: Provincie Noord-Brabant;Regionale Kaarten;Kaarten;Provincie Noord-Brabant;"=HYPERLINK("""")";Deze databron is alleen als WMS beschikbaar, gebruik kaart url om gegevens op te halen;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=Gezondheidskaart_Geluid_industrie&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";Gezondheidskaart_Geluid_industrie
Gezondheid GES Geluid spoorwegen Lden;U ziet de gezondheidskaart met GES-scores, gebaseerd op de berekende blootstelling aan geluid van railverkeer op spoorwegen in Noord-Brabant.;Regionale Kaarten;Kaarten;Provincie Noord-Brabant;"=HYPERLINK("""")";Deze databron is alleen als WMS beschikbaar, gebruik kaart url om gegevens op te halen;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=Gezondheidskaart_Geluid_spoorwegen_Lden_2013&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";Gezondheidskaart_Geluid_spoorwegen_Lden_2013
Gezondheid GES Geluid provinciale wegen Lden;U ziet de gezondheidskaart met GES-scores, gebaseerd op de berekende blootstelling aan geluid van wegverkeer vanwege de provinciale wegen in Noord-Brabant.;Regionale Kaarten;Kaarten;Provincie Noord-Brabant;"=HYPERLINK("""")";Deze databron is alleen als WMS beschikbaar, gebruik kaart url om gegevens op te halen;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=Gezondheidskaart_Geluid_provinciale_wegen_Lden_2013&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";Gezondheidskaart_Geluid_provinciale_wegen_Lden_2013
Limburg beken met een algemeen ecologische functie;Beken met een algemeen ecologische functie.;Regionale Kaarten;Kaarten;Provincie Limburg;"=HYPERLINK(""http://portal.prvlimburg.nl/geoservices/pol2014_kaart9_regionaal_water?"")";;"=HYPERLINK(""http://portal.prvlimburg.nl/geoservices/pol2014_kaart9_regionaal_water?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=pol2014_aef_beken_l&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";pol2014_aef_beken_l
Duisterniskaart, hemelhelderheid met kasverlichting uit;In Noord-Holland gemeten hemelhelderheid zonder kasverlichting;Regionale Kaarten;Kaarten;Provincie Noord-Holland;"=HYPERLINK("""")";404;"=HYPERLINK(""http://maps.noord-holland.nl/ArcGIS/services/PNH_PGR_cat3/MapServer/WMSServer?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=13&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";13
Stiltegebieden - Provinciale Milieu Verordening;Deze kaart is vastgesteld door GS op 18 november 2013. De gebieden met nr 26 en 28 zijn vervallen. Deze gebieden zijn opgenomen in het Milieubeleidsplan 2009-2013 en verankerd in de Provinciale Milieu Verordening (PMV) door middel van de aanwijzing als mi;Regionale Kaarten;Kaarten;Provincie Noord-Holland;"=HYPERLINK("""")";404;"=HYPERLINK(""http://maps.noord-holland.nl/ArcGIS/services/PNH_PGR_cat3/MapServer/WMSServer?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=8&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";8
Duisterniskaart, hemelhelderheid met kasverlichting aan;In Noord-Holland gemeten hemelhelderheid met kasverlichting aan;Regionale Kaarten;Kaarten;Provincie Noord-Holland;"=HYPERLINK("""")";404;"=HYPERLINK(""http://maps.noord-holland.nl/ArcGIS/services/PNH_PGR_cat3/MapServer/WMSServer?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=12&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";12
Grondwaterbeschermingsgebieden;Op de kaart ziet u de door de provincie Noord-Holland aangewezen grondwaterbeschermingsgebieden.;Regionale Kaarten;Kaarten;Provincie Noord-Holland;"=HYPERLINK("""")";404;"=HYPERLINK(""http://maps.noord-holland.nl/arcgis/services/PNH_PGR_cat3/MapServer/WMSServer?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=14&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";14
Limburg terreingrens van het gezoneerde industrieterrein;De terreingrens van het gezoneerde (deel van het) industrieterrein in Limburg;Regionale Kaarten;Kaarten;Provincie Limburg;"=HYPERLINK(""http://portal.prvlimburg.nl/geoservices/milieu?"")";;"=HYPERLINK(""http://portal.prvlimburg.nl/geoservices/milieu?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=terreinen_geluidzone_v&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";terreinen_geluidzone_v
Limburg contouren geluidzones industrielawaai;Geluidcontouren (55 en 55 dB(A)) rondom industriegebieden.;Regionale Kaarten;Kaarten;Provincie Limburg;"=HYPERLINK(""http://portal.prvlimburg.nl/geoservices/milieu?"")";;"=HYPERLINK(""http://portal.prvlimburg.nl/geoservices/milieu?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=contouren_geluidzone_v&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";contouren_geluidzone_v
Milieu- Bodem Asbest inventarisatie (punten), provincie Gelderland;Asbestverdachte locaties Gelderland, inventarisatie 2008;Regionale Kaarten;Kaarten;Provincie Gelderland;"=HYPERLINK("""")";404;"=HYPERLINK(""http://ags.prvgld.nl/ArcGIS/services/pgr/MapServer/WMSServer?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=Asbest%20inventarisatie-%20punten&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";Asbest%20inventarisatie-%20punten
Milieu- Bodem Asbest inventarisatie (vlakken), provincie Gelderland;Abest feitelijke informatie uit (openbare) archieven;Regionale Kaarten;Kaarten;Provincie Gelderland;"=HYPERLINK("""")";404;"=HYPERLINK(""http://ags.prvgld.nl/ArcGIS/services/pgr/MapServer/WMSServer?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=Asbest%20inventarisatie-%20vlakken&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";Asbest%20inventarisatie-%20vlakken
Gezondheid GES Geluid provinciale wegen Lden;U ziet de gezondheidskaart met GES-scores, gebaseerd op de berekende blootstelling aan geluid van wegverkeer vanwege de provinciale wegen in Noord-Brabant.;Nieuwe_kaarten_in_de_atlas;;Provincie Noord-Brabant;"=HYPERLINK("""")";Deze databron is alleen als WMS beschikbaar, gebruik kaart url om gegevens op te halen;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=Gezondheidskaart_Geluid_provinciale_wegen_Lden_2013&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";Gezondheidskaart_Geluid_provinciale_wegen_Lden_2013
Gezondheid GES Luchtkwaliteit fijnstof (pm2,5) 2013;U ziet de gezondheidskaart met GES-scores, gebaseerd op de berekende fijnstof concentraties (pm2,5) over het jaar 2013 in Noord-Brabant.;Nieuwe_kaarten_in_de_atlas;;Provincie Noord-Brabant;"=HYPERLINK("""")";Deze databron is alleen als WMS beschikbaar, gebruik kaart url om gegevens op te halen;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=Gezondheidskaart_Luchtkwaliteit_fijnstof_PM2_5_2013&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";Gezondheidskaart_Luchtkwaliteit_fijnstof_PM2_5_2013
Gezondheid GES Luchtkwaliteit stikstofdioxide (NO2) 2013;U ziet de gezondheidskaart met GES-scores, gebaseerd op de berekende stikstofdioxide concentraties (NO2) over het jaar 2013 in Noord-Brabant.;Nieuwe_kaarten_in_de_atlas;;Provincie Noord-Brabant;"=HYPERLINK("""")";Deze databron is alleen als WMS beschikbaar, gebruik kaart url om gegevens op te halen;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=Gezondheidskaart_Luchtkwaliteit_stikstofdioxide_NO2_2013&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";Gezondheidskaart_Luchtkwaliteit_stikstofdioxide_NO2_2013
Gezondheid GES Geur veehouderij obv hinderpercentages;U ziet de gezondheidskaart met GES-scores op basis van de opgetelde geurbelasting veroorzaakt door veehouderijen.;Nieuwe_kaarten_in_de_atlas;;Provincie Noord-Brabant;"=HYPERLINK("""")";Deze databron is alleen als WMS beschikbaar, gebruik kaart url om gegevens op te halen;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=Gezondheidskaart_Geur_veehouderij_obv_hinderpercentages_2013&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";Gezondheidskaart_Geur_veehouderij_obv_hinderpercentages_2013
Gezondheid GES Luchtkwaliteit fijnstof (pm10) 2013;U ziet de gezondheidskaart met GES-scores, gebaseerd op de berekende fijnstof concentraties (pm10) over het jaar 2013 in Noord-Brabant.;Nieuwe_kaarten_in_de_atlas;;Provincie Noord-Brabant;"=HYPERLINK("""")";Deze databron is alleen als WMS beschikbaar, gebruik kaart url om gegevens op te halen;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=Gezondheidskaart_Luchtkwaliteit_fijnstof_PM10_2013&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";Gezondheidskaart_Luchtkwaliteit_fijnstof_PM10_2013
Gezondheid GES Geluid rijkswegen Lden;U ziet de gezondheidskaart met GES-scores, gebaseerd op de berekende blootstelling aan geluid van wegverkeer op rijkswegen in Noord-Brabant.;Nieuwe_kaarten_in_de_atlas;;Provincie Noord-Brabant;"=HYPERLINK("""")";Deze databron is alleen als WMS beschikbaar, gebruik kaart url om gegevens op te halen;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=Gezondheidskaart_Geluid_rijkswegen_Lden_2013&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";Gezondheidskaart_Geluid_rijkswegen_Lden_2013
Gezondheid GES Geluid vliegverkeer vergund;U ziet de gezondheidskaart met GES-scores, gebaseerd op de berekende blootstelling aan geluid van vliegverkeer bij de vliegvelden in Noord-Brabant.;Nieuwe_kaarten_in_de_atlas;;Provincie Noord-Brabant;"=HYPERLINK("""")";Deze databron is alleen als WMS beschikbaar, gebruik kaart url om gegevens op te halen;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=Gezondheidskaart_Geluid_vliegverkeer_vergund_2014&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";Gezondheidskaart_Geluid_vliegverkeer_vergund_2014
Gezondheid GES Geur industrie;U ziet de gezondheidskaart met GES-scores, gebaseerd op de berekende geuruitstoot van industriële bedrijven met vergunning van provincie Noord-Brabant.;Nieuwe_kaarten_in_de_atlas;;Provincie Noord-Brabant;"=HYPERLINK("""")";Deze databron is alleen als WMS beschikbaar, gebruik kaart url om gegevens op te halen;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=Gezondheidskaart_Geur_industrie_2015&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";Gezondheidskaart_Geur_industrie_2015
Gezondheid GES Geluid industrie;U ziet de gezondheidskaart met GES-scores, gebaseerd op de berekende blootstelling aan geluid afkomstig van de geluidgezoneerde industrieterreinen in Noord-Brabant. Bronhouder: Provincie Noord-Brabant;Nieuwe_kaarten_in_de_atlas;;Provincie Noord-Brabant;"=HYPERLINK("""")";Deze databron is alleen als WMS beschikbaar, gebruik kaart url om gegevens op te halen;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=Gezondheidskaart_Geluid_industrie&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";Gezondheidskaart_Geluid_industrie
Gezondheid GES Geluid spoorwegen Lden;U ziet de gezondheidskaart met GES-scores, gebaseerd op de berekende blootstelling aan geluid van railverkeer op spoorwegen in Noord-Brabant.;Nieuwe_kaarten_in_de_atlas;;Provincie Noord-Brabant;"=HYPERLINK("""")";Deze databron is alleen als WMS beschikbaar, gebruik kaart url om gegevens op te halen;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=Gezondheidskaart_Geluid_spoorwegen_Lden_2013&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";Gezondheidskaart_Geluid_spoorwegen_Lden_2013
Asbest Gebouwen Scholen;Op de kaart ziet u de asbestsituatie in schoolgebouwen. De kaart toont de situatie van 1 februari 2014 op basis van gegevens die de scholen zelf hebben aangeleverd in 2011, 2012, 2013 en 2014.;Asbest;Scholen;Ministerie van Infrastructuur en Milieu;"=HYPERLINK(""http://acg-prd:9093/geoserver/asbestscholenkaart/wms?"")";Niet gelukt om verbinding met server te maken;"=HYPERLINK(""http://acg-prd:9093/geoserver/asbestscholenkaart/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=inventarisatie2013&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";inventarisatie2013
Asbest Gebouwen Ziekenhuizen;Op de kaart ziet u de asbestsituatie in ziekenhuizen;Asbest;Scholen;Ministerie van Infrastructuur en Milieu;"=HYPERLINK(""http://atlas-leefomgeving-prd.geodan.nl/geoserver/equus/wfs?SERVICE=WFS&VERSION=1.1.0&REQUEST=GetFeature&TYPENAME=equus:asbest_Ziekenhuizen_6_449438b4-35ed-4115-a9a5-c3becc4ab6e2&OUTPUTFORMAT=json&SRSNAME=EPSG:4326"")";;"=HYPERLINK(""http://atlas-leefomgeving-prd.geodan.nl/geoserver/equus/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=equus:asbest_Ziekenhuizen_6_449438b4-35ed-4115-a9a5-c3becc4ab6e2&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";equus:asbest_Ziekenhuizen_6_449438b4-35ed-4115-a9a5-c3becc4ab6e2
Geurhinder wegverkeer;Op de kaart ziet u welk percentage van de bevolking ernstig gehinderd is door geur van wegverkeer;Luchtkwaliteit;geurhinder;Rijksinstituut voor Volksgezondheid en Milieu (RIVM);"=HYPERLINK(""http://geodata.rivm.nl/geoserver/alo/wfs?SERVICE=WFS&VERSION=1.1.0&REQUEST=GetFeature&TYPENAME=rivm_rc_geurverkeer&OUTPUTFORMAT=json&SRSNAME=EPSG:4326"")";;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/alo/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=rivm_rc_geurverkeer&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";rivm_rc_geurverkeer
Geurhinder landbouw en veeteelt;Op de kaart ziet u welk percentage van de bevolking ernstig gehinderd is door geur van landbouw en veeteelt;Luchtkwaliteit;geurhinder;Rijksinstituut voor Volksgezondheid en Milieu (RIVM);"=HYPERLINK(""http://geodata.rivm.nl/geoserver/alo/wfs?SERVICE=WFS&VERSION=1.1.0&REQUEST=GetFeature&TYPENAME=rivm_rc_geurlandbouw&OUTPUTFORMAT=json&SRSNAME=EPSG:4326"")";;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/alo/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=rivm_rc_geurlandbouw&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";rivm_rc_geurlandbouw
Geurhinder bedrijven en industrie;Op de kaart ziet u welk percentage van de bevolking ernstig gehinderd is door geur van bedrijven en industrie;Luchtkwaliteit;geurhinder;Rijksinstituut voor Volksgezondheid en Milieu (RIVM);"=HYPERLINK(""http://geodata.rivm.nl/geoserver/alo/wfs?SERVICE=WFS&VERSION=1.1.0&REQUEST=GetFeature&TYPENAME=rivm_rc_geurbedrijf&OUTPUTFORMAT=json&SRSNAME=EPSG:4326"")";;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/alo/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=rivm_rc_geurbedrijf&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";rivm_rc_geurbedrijf
Geurhinder haarden en allesbranders;Op de kaart ziet u welk percentage van de bevolking ernstig gehinderd is door geur van open haarden en allesbranders;Luchtkwaliteit;geurhinder;Rijksinstituut voor Volksgezondheid en Milieu (RIVM);"=HYPERLINK(""http://geodata.rivm.nl/geoserver/alo/wfs?SERVICE=WFS&VERSION=1.1.0&REQUEST=GetFeature&TYPENAME=rivm_rc_geurhaard&OUTPUTFORMAT=json&SRSNAME=EPSG:4326"")";;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/alo/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=rivm_rc_geurhaard&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";rivm_rc_geurhaard
Fijnstof nieuwjaarsnacht 2016;U ziet de berekende fijn stof concentratie in de nieuwjaarsnacht tussen 1 en 2 uur in 2016;Luchtkwaliteit;Actuele_data;Rijksinstituut voor Volksgezondheid en Milieu (RIVM);"=HYPERLINK("""")";Deze databron is alleen als WMS beschikbaar, gebruik kaart url om gegevens op te halen;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=nye:pm10_20160101-02&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";nye:pm10_20160101-02
Stikstofdioxide 2013 (NO2);De stikstofdioxide-concentratie (NO2) voor 2013;Luchtkwaliteit;Wegverkeer;Rijksinstituut voor Volksgezondheid en Milieu (RIVM);"=HYPERLINK("""")";Deze databron is alleen als WMS beschikbaar, gebruik kaart url om gegevens op te halen;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=nsl:nsl_20141204_gm_NO22013&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";nsl:nsl_20141204_gm_NO22013
Stikstofdioxide 2014 (NO2);U ziet de berekende NO2 concentratie in Nederland voor het jaar 2014;Luchtkwaliteit;Wegverkeer;Rijksinstituut voor Volksgezondheid en Milieu (RIVM);"=HYPERLINK("""")";Deze databron is alleen als WMS beschikbaar, gebruik kaart url om gegevens op te halen;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=nsl:rivm_nsl_gm_NO22014&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";nsl:rivm_nsl_gm_NO22014
Fijnstof 2013 (pm10);Fijn stof concentraties (pm10) voor 2013;Luchtkwaliteit;Wegverkeer;Rijksinstituut voor Volksgezondheid en Milieu (RIVM);"=HYPERLINK("""")";Deze databron is alleen als WMS beschikbaar, gebruik kaart url om gegevens op te halen;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=nsl:nsl_20141204_gm_pm102013&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";nsl:nsl_20141204_gm_pm102013
Fijnstof 2014 (pm10);U ziet de berekende fijn stof concentraties (PM10) over het jaar 2014;Luchtkwaliteit;Wegverkeer;Rijksinstituut voor Volksgezondheid en Milieu (RIVM);"=HYPERLINK("""")";Deze databron is alleen als WMS beschikbaar, gebruik kaart url om gegevens op te halen;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=nsl:rivm_nsl_gm_pm102014&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";nsl:rivm_nsl_gm_pm102014
Fijnstof 2013 (pm2,5);Fijn stof concentraties (pm2,5) voor 2013;Luchtkwaliteit;Wegverkeer;Rijksinstituut voor Volksgezondheid en Milieu (RIVM);"=HYPERLINK("""")";Deze databron is alleen als WMS beschikbaar, gebruik kaart url om gegevens op te halen;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=nsl:nsl_20141204_gm_pm252013&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";nsl:nsl_20141204_gm_pm252013
Fijnstof 2014 (pm2,5);U ziet de berekende fijn stof concentraties (PM2,5) over het jaar 2014;Luchtkwaliteit;Wegverkeer;Rijksinstituut voor Volksgezondheid en Milieu (RIVM);"=HYPERLINK("""")";Deze databron is alleen als WMS beschikbaar, gebruik kaart url om gegevens op te halen;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=nsl:rivm_nsl_gm_pm252014&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";nsl:rivm_nsl_gm_pm252014
