naam;samenvatting;thema;onderwerp;eigenaar;data url;data url error;kaart url;laagnaam
Tekort zoetwater voor doorspoeling in gemiddeld jaar;Voor deze watervraag is binnen â€˜Deltaprogramma zoet waterâ€™ bepaald wat de totale hoeveelheid water is die aangevoerd kan worden en wat het uiteindelijke tekort aan zoet water voor dit doeleinde is. ;Water_overig;Water_overig;Deltares;"=HYPERLINK(""http://deltaresdata.openearth.nl/geoserver/DANK/wfs?SERVICE=WFS&VERSION=1.1.0&REQUEST=GetFeature&TYPENAME=DANK:DANK-019b_Tekort_water_voor_doorspoeling_gemiddeld-jaar&OUTPUTFORMAT=json&SRSNAME=EPSG:4326"")";;"=HYPERLINK(""http://deltaresdata.openearth.nl/geoserver/DANK/wfs?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=DANK:DANK-019b_Tekort_water_voor_doorspoeling_gemiddeld-jaar&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";DANK:DANK-019b_Tekort_water_voor_doorspoeling_gemiddeld-jaar
Tekort zoet oppervlaktewater voor de landbouw - extreem droog jaar;Binnen het Deltaprogramma zoet water is bepaald wat de totale hoeveelheid water is die aangevoerd kan worden en wat het uiteindelijke tekort aan zoet water voor dit doeleinde is. ;Water_overig;Water_overig;Deltares;"=HYPERLINK(""http://deltaresdata.openearth.nl/geoserver/DANK/wfs?SERVICE=WFS&VERSION=1.1.0&REQUEST=GetFeature&TYPENAME=DANK:DANK-027_Tekort_zoet_water_voor_beregening_extreem_droog_jaar&OUTPUTFORMAT=json&SRSNAME=EPSG:4326"")";;"=HYPERLINK(""http://deltaresdata.openearth.nl/geoserver/DANK/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=DANK:DANK-027_Tekort_zoet_water_voor_beregening_extreem_droog_jaar&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";DANK:DANK-027_Tekort_zoet_water_voor_beregening_extreem_droog_jaar
Beregeningsonttrekkingen: effect op grondwaterkwel;Beregeningsonttrekkingen kunnen grote effecten hebben op andere ecosysteemdiensten, zoals drinkwatervoorziening en water voor terrestrische en aquatische natuur.;Water_overig;Water_overig;Deltares;"=HYPERLINK("""")";Deze databron is alleen als WMS beschikbaar, gebruik kaart url om gegevens op te halen;"=HYPERLINK(""http://deltaresdata.openearth.nl/geoserver/DANK/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=DANK:DANK005a_irrigatiewater_kwelafname&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";DANK:DANK005a_irrigatiewater_kwelafname
Tekort zoetwater voor peilbeheer in gemiddeld jaar;Voor deze watervraag is bepaald wat de totale hoeveelheid water is die aangevoerd kan worden en wat het uiteindelijke tekort aan zoet water voor dit doeleinde is. ;Water_overig;Water_overig;Deltares;"=HYPERLINK(""http://deltaresdata.openearth.nl/geoserver/DANK/wfs?SERVICE=WFS&VERSION=1.1.0&REQUEST=GetFeature&TYPENAME=DANK:DANK-019c_Tekort_water_voor_peilbeheer_gemiddeld_jaar&OUTPUTFORMAT=json&SRSNAME=EPSG:4326"")";;"=HYPERLINK(""http://deltaresdata.openearth.nl/geoserver/DANK/wfs?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=DANK:DANK-019c_Tekort_water_voor_peilbeheer_gemiddeld_jaar&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";DANK:DANK-019c_Tekort_water_voor_peilbeheer_gemiddeld_jaar
Verdeelpunten hoofdwatersysteem (kranen);De kaart geeft de belangrijkste kranen van het hoofdwatersyteem weer;Water_overig;Water_overig;Deltares;"=HYPERLINK(""http://deltaresdata.openearth.nl/geoserver/DANK/wfs?SERVICE=WFS&VERSION=1.1.0&REQUEST=GetFeature&TYPENAME=DANK:DANK-019h_Verdeelpunten_hoofdwatersysteem&OUTPUTFORMAT=json&SRSNAME=EPSG:4326"")";;"=HYPERLINK(""http://deltaresdata.openearth.nl/geoserver/DANK/wfs?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=DANK:DANK-019h_Verdeelpunten_hoofdwatersysteem&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";DANK:DANK-019h_Verdeelpunten_hoofdwatersysteem
Beregeningsonttrekkingen: locaties onttrekkingen uit grondwater en oppervlaktewater;Beregeningswater wordt zowel onttrokken uit grondwater als uit oppervlaktewater. Het percentage dat uit grondwater wordt onttrokken varieert tussen ca. 80 en 65% van het irrigatiewater voor respectievelijk droge en natte jaren (Hoogeveen e.a., 2003);Water_overig;Water_overig;Deltares;"=HYPERLINK(""http://deltaresdata.openearth.nl/geoserver/DANK/ows?SERVICE=WFS&VERSION=1.1.0&REQUEST=GetFeature&TYPENAME=DANK:DANK-005b-BeregeningsLocaties&OUTPUTFORMAT=json&SRSNAME=EPSG:4326"")";;"=HYPERLINK(""http://deltaresdata.openearth.nl/geoserver/DANK/ows?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=DANK:DANK-005b-BeregeningsLocaties&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";DANK:DANK-005b-BeregeningsLocaties
Locaties industriewateronttrekkingen uit oppervlaktewater;De kaart geeft een beeld van de belangrijkste opnamepunten voor industriewater uit het oppervlaktewater weer. ;Water_overig;Water_overig;Deltares;"=HYPERLINK(""http://deltaresdata.openearth.nl/geoserver/DANK/wfs?SERVICE=WFS&VERSION=1.1.0&REQUEST=GetFeature&TYPENAME=DANK:DANK-019g_Industriewateronttrekkingen_uit_oppervlaktewater&OUTPUTFORMAT=json&SRSNAME=EPSG:4326"")";;"=HYPERLINK(""http://deltaresdata.openearth.nl/geoserver/DANK/wfs?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=DANK:DANK-019g_Industriewateronttrekkingen_uit_oppervlaktewater&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";DANK:DANK-019g_Industriewateronttrekkingen_uit_oppervlaktewater
Waterzuivering in ondergrond;Deze kaart toont als voorbeeld van â€˜waterzuivering van de ondergrondâ€™ de potentie voor denitrificatie. ;Reinigend_vermogen;bodem;Deltares;"=HYPERLINK(""http://deltaresdata.openearth.nl/geoserver/DANK/ows?SERVICE=WFS&VERSION=1.1.0&REQUEST=GetFeature&TYPENAME=DANK:DANK-014_Waterzuivering&OUTPUTFORMAT=json&SRSNAME=EPSG:4326"")";;"=HYPERLINK(""http://deltaresdata.openearth.nl/geoserver/DANK/ows?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=DANK:DANK-014_Waterzuivering&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";DANK:DANK-014_Waterzuivering
Zelfreinigend vermogen in de toplaag van de bodem (relatief);Het zelfreinigende vermogen in de toplaag van de bodem, obv samengestelde indicatorenset;Reinigend_vermogen;bodem;Rijksinstituut voor Volksgezondheid en Milieu (RIVM);"=HYPERLINK("""")";Deze databron is alleen als WMS beschikbaar, gebruik kaart url om gegevens op te halen;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=dank:rivm_r5_gm_naturalatt&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";dank:rivm_r5_gm_naturalatt
Grootschalige stikstofdepositie Nederland;U ziet de depositie van stikstofverbindingen in Nederland op een resolutie van 1x1 km;Reinigend_vermogen;lucht;Rijksinstituut voor Volksgezondheid en Milieu (RIVM);"=HYPERLINK("""")";Deze databron is alleen als WMS beschikbaar, gebruik kaart url om gegevens op te halen;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=dank:rivm_r19_gm_n-depositie&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";dank:rivm_r19_gm_n-depositie
Waterzuivering meren;Deze kaart toont de filtratie door Quaggamosselen in rivieren en meren.;Reinigend_vermogen;water;Deltares;"=HYPERLINK(""http://deltaresdata.openearth.nl/geoserver/DANK/wfs?SERVICE=WFS&VERSION=1.1.0&REQUEST=GetFeature&TYPENAME=DANK:DANK012_waterzuivering_rivieren_meren&OUTPUTFORMAT=json&SRSNAME=EPSG:4326"")";;"=HYPERLINK(""http://deltaresdata.openearth.nl/geoserver/DANK/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=DANK:DANK012_waterzuivering_rivieren_meren&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";DANK:DANK012_waterzuivering_rivieren_meren
DANK- Water zuiverende werking bodemorganismen Waddenzee;De kaart geeft bijdrage weer aan de waterzuiverende werking door filtratie door mosselen in de Waddenzee uitgedrukt in liter per vierkante meter bodemoppervlak per dag. ;Reinigend_vermogen;water;Deltares;"=HYPERLINK("""")";Deze databron is alleen als WMS beschikbaar, gebruik kaart url om gegevens op te halen;"=HYPERLINK(""http://deltaresdata.openearth.nl/geoserver/DANK/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=DANK013_Waterzuivering_Waddenzee&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";DANK013_Waterzuivering_Waddenzee
PotentiÃ«le invang fijn stof (PM10) door vegetatie;Op de kaart is de potentiÃ«le invangcapaciteit van vegetatie voor fijnstof (PM10) weergegeven.;Reinigend_vermogen;lucht;Alterra, Wageningen UR;"=HYPERLINK("""")";Deze databron is alleen als WMS beschikbaar, gebruik kaart url om gegevens op te halen;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/dank/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=dank:altr_a15_gv_lzuifijnstof&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";dank:altr_a15_gv_lzuifijnstof
Gevoeligheid en bescherming tegen watererosie;De kaart geeft gebieden aan die kwetsbaar zijn voor watererosie.;Bodemerosie;Bodemerosie;Alterra, Wageningen UR;"=HYPERLINK("""")";Deze databron is alleen als WMS beschikbaar, gebruik kaart url om gegevens op te halen;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/dank/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=dank:altr_a02b_gv_watererosie&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";dank:altr_a02b_gv_watererosie
Gevoeligheid en bescherming tegen winderosie;De kaart geeft gebieden aan die kwetsbaar zijn voor winderosie.;Bodemerosie;Bodemerosie;Alterra, Wageningen UR;"=HYPERLINK("""")";Deze databron is alleen als WMS beschikbaar, gebruik kaart url om gegevens op te halen;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=dank:altr_a02a_gv_winderosie&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";dank:altr_a02a_gv_winderosie
Waterregulering ondergrond;Deze kaart geeft een overzicht van kansrijke maatregelen, verspreid over Nederland, om de bergingscapaciteit van de ondergrond te benutten. ;Waterberging;waterberging;Deltares;"=HYPERLINK("""")";Deze databron is alleen als WMS beschikbaar, gebruik kaart url om gegevens op te halen;"=HYPERLINK(""http://deltaresdata.openearth.nl/geoserver/DANK/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=DANK:DANK017_waterregulering_ondergrond&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";DANK:DANK017_waterregulering_ondergrond
Waterbergend vermogen van de ondergrond;De kaart maximale berging in grondwater drukt uit hoeveel water (in mm) nog in de grond geborgen kan worden ten opzichte van een huidige natte situatie.;Waterberging;waterberging;Deltares;"=HYPERLINK("""")";Deze databron is alleen als WMS beschikbaar, gebruik kaart url om gegevens op te halen;"=HYPERLINK(""http://deltaresdata.openearth.nl/geoserver/DANK/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=DANK:DANK015_waterberging_grondwater&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";DANK:DANK015_waterberging_grondwater
Waterbergend vermogen Maas;Gemiddeld komt er over de Maas 230 m3/s water binnen. Minimaal komt er 0 m3/s het land binnen over de Maas. ;Waterberging;waterberging;Deltares;"=HYPERLINK(""http://deltaresdata.openearth.nl/geoserver/DANK/wfs?SERVICE=WFS&VERSION=1.1.0&REQUEST=GetFeature&TYPENAME=DANK:DANK-029_Maximale_afvoer_Maas&OUTPUTFORMAT=json&SRSNAME=EPSG:4326"")";;"=HYPERLINK(""http://deltaresdata.openearth.nl/geoserver/DANK/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=DANK:DANK-029_Maximale_afvoer_Maas&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";DANK:DANK-029_Maximale_afvoer_Maas
Waterbergend vermogen van Rijntakken;In dit bestand wordt de afvoermogelijkheid door de grote rivieren in beeld gebracht.;Waterberging;waterberging;Deltares;"=HYPERLINK(""http://deltaresdata.openearth.nl/geoserver/DANK/wfs?SERVICE=WFS&VERSION=1.1.0&REQUEST=GetFeature&TYPENAME=DANK:DANK-029_Maximale_afvoer_Rijntakken&OUTPUTFORMAT=json&SRSNAME=EPSG:4326"")";;"=HYPERLINK(""http://deltaresdata.openearth.nl/geoserver/DANK/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=DANK:DANK-029_Maximale_afvoer_Rijntakken&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";DANK:DANK-029_Maximale_afvoer_Rijntakken
Waterbergend vermogen van regionale wateren;Deze kaart geeft een overzicht van de mogelijkheden voor waterberging in regionale wateren;Waterberging;waterberging;Deltares;"=HYPERLINK("""")";Deze databron is alleen als WMS beschikbaar, gebruik kaart url om gegevens op te halen;"=HYPERLINK(""http://deltaresdata.openearth.nl/geoserver/DANK/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=DANK:waterberging_oppwater&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";DANK:waterberging_oppwater
Waterbergend vermogen van de grote oppervlaktewateren;Dit bestand geeft een beeld van de Waterberging in grote meren, waarmee de maximale bergingscapaciteit van de grote oppervlaktewateren bedoeld wordt.;Waterberging;waterberging;Deltares;"=HYPERLINK(""http://deltaresdata.openearth.nl/geoserver/DANK/wfs?SERVICE=WFS&VERSION=1.1.0&REQUEST=GetFeature&TYPENAME=DANK:DANK-029_Waterbergend_vermogen_grote_oppervlaktewateren&OUTPUTFORMAT=json&SRSNAME=EPSG:4326"")";;"=HYPERLINK(""http://deltaresdata.openearth.nl/geoserver/DANK/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=DANK:DANK-029_Waterbergend_vermogen_grote_oppervlaktewateren&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";DANK:DANK-029_Waterbergend_vermogen_grote_oppervlaktewateren
Vochtleverend vermogen door de bodem;Deze kaart geeft aan in welke mate er tijdens het groeiseizoen vocht in de bodem via de plantenwortels beschikbaar is voor de plant.;Waterberging;waterberging;Alterra, Wageningen UR;"=HYPERLINK("""")";Deze databron is alleen als WMS beschikbaar, gebruik kaart url om gegevens op te halen;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/dank/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=dank:altr_a19_gv_vochtlverm&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";dank:altr_a19_gv_vochtlverm
Bescherming tegen overstroming;Duinen en kwelders zijn natuurlijke systemen die direct of indirect bijdragen aan de bescherming van Nederland tegen overstromingen. ;Kustbescherming;kustbescherming;Deltares;"=HYPERLINK(""http://deltaresdata.openearth.nl/geoserver/DANK/wfs?SERVICE=WFS&VERSION=1.1.0&REQUEST=GetFeature&TYPENAME=DANK:DANK-009_Bescherming_tegen_overstroming&OUTPUTFORMAT=json&SRSNAME=EPSG:4326"")";;"=HYPERLINK(""http://deltaresdata.openearth.nl/geoserver/DANK/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=DANK:DANK-009_Bescherming_tegen_overstroming&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";DANK:DANK-009_Bescherming_tegen_overstroming
Potentieel aanbod natuurlijke bestuiving;De kaart toont de ligging van gebieden met potentiele bestuiving van landbouwgewassen door wilde bestuivers.;Bestuiving;Bestuiving;Alterra, Wageningen UR;"=HYPERLINK("""")";Deze databron is alleen als WMS beschikbaar, gebruik kaart url om gegevens op te halen;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/dank/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=dank:altr_a01_gv_potnatbestui&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";dank:altr_a01_gv_potnatbestui
PotentiÃ«le Natuurlijke Plaagregulatie;De kaart toont de ligging van gebieden met potentiÃ«le natuurlijke plaagbestrijding in landbouwgewassen met natuurlijke vijanden.;Plaagonderdrukking;plaagonderdrukking;Alterra, Wageningen UR;"=HYPERLINK("""")";Deze databron is alleen als WMS beschikbaar, gebruik kaart url om gegevens op te halen;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/dank/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=dank:altr_a16_gv_natplaagregu&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";dank:altr_a16_gv_natplaagregu
Bijdragen van de bodem aan klimaatregulatie (relatief);Bodemaspecten van de toplaag die bijdragen aan een goed lokaal en mondiaal klimaat;Bodemvruchtbaarheid;Bodemvruchtbaarheid;Rijksinstituut voor Volksgezondheid en Milieu (RIVM);"=HYPERLINK("""")";Deze databron is alleen als WMS beschikbaar, gebruik kaart url om gegevens op te halen;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=dank:rivm_r8_gm_climatereg&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";dank:rivm_r8_gm_climatereg
Robuustheid en herstelvermogen van de bodem (relatief);De robuustheid van de bodem voor milieustress en het vermogen tot herstel en aanpassing aan veranderend bodemgebruik, obv samengestelde indicatorenset;Bodemvruchtbaarheid;Bodemvruchtbaarheid;Rijksinstituut voor Volksgezondheid en Milieu (RIVM);"=HYPERLINK("""")";Deze databron is alleen als WMS beschikbaar, gebruik kaart url om gegevens op te halen;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/dank/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=dank:rivm_r12_gm_resilience&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";dank:rivm_r12_gm_resilience
Koolstofcyclus en -dynamiek in de bovenste bodemlaag (relatief);Koolstofcycus en -dynamiek in de bovenste bodemlaag, obv samengestelde indicatorenset;Bodemvruchtbaarheid;Bodemvruchtbaarheid;Rijksinstituut voor Volksgezondheid en Milieu (RIVM);"=HYPERLINK("""")";Deze databron is alleen als WMS beschikbaar, gebruik kaart url om gegevens op te halen;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=dank:rivm_r7_gm_carboncycl&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";dank:rivm_r7_gm_carboncycl
Bodemvruchtbaarheid voor landbouw;De bodemvruchthaarheidskaart deelt de Nederlandse gronden in naar natuurlijke bodemvruchtbaarheid.;Bodemvruchtbaarheid;Bodemvruchtbaarheid;Alterra, Wageningen UR;"=HYPERLINK("""")";Deze databron is alleen als WMS beschikbaar, gebruik kaart url om gegevens op te halen;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/dank/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=dank:altr_a18_gv_bodemvrchtbh&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";dank:altr_a18_gv_bodemvrchtbh
Koolstofvastlegging in de bodem bij verbeteren gewasrotatie;Deze kaart laat de potentiÃ«le koolstofvastlegging in de bodem zien voor de maatregel gewasrotaties verbeteren.;Koolstofvastlegging;koolstofvastlegging;Alterra, Wageningen UR;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wfs?SERVICE=WFS&VERSION=1.1.0&REQUEST=GetFeature&TYPENAME=dank:altr_a13_ri_bodemcrota&OUTPUTFORMAT=json&SRSNAME=EPSG:4326"")";;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=dank:altr_a13_ri_bodemcrota&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";dank:altr_a13_ri_bodemcrota
Koolstofvastlegging in de bodem bij groenbemesting;Deze kaart laat de potentiÃ«le koolstofvastlegging in de bodem zien voor de maatregel waarbij een vanggewas en groenbemester wordt toegepast.;Koolstofvastlegging;koolstofvastlegging;Alterra, Wageningen UR;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wfs?SERVICE=WFS&VERSION=1.1.0&REQUEST=GetFeature&TYPENAME=dank:altr_a12_ri_bodemcvang&OUTPUTFORMAT=json&SRSNAME=EPSG:4326"")";;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=dank:altr_a12_ri_bodemcvang&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";dank:altr_a12_ri_bodemcvang
Koolstofvastlegging in de bodem bij niet kerende grondbewerking;Deze kaart laat de potentiÃ«le koolstofvastlegging in de bodem zien voor de maatregel niet-kerende grondbewerking.;Koolstofvastlegging;koolstofvastlegging;Alterra, Wageningen UR;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wfs?SERVICE=WFS&VERSION=1.1.0&REQUEST=GetFeature&TYPENAME=dank:altr_a11_ri_bodemcredtil&OUTPUTFORMAT=json&SRSNAME=EPSG:4326"")";;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=dank:altr_a11_ri_bodemcredtil&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";dank:altr_a11_ri_bodemcredtil
Koolstofvastlegging in de bodem bij niet scheuren grasland;Deze kaart laat de potentiÃ«le vastlegging van koolstof in de bodem zien bij de maatregel niet scheuren van grasland.;Koolstofvastlegging;koolstofvastlegging;Alterra, Wageningen UR;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wfs?SERVICE=WFS&VERSION=1.1.0&REQUEST=GetFeature&TYPENAME=dank:altr_a10_ri_bodemcscheur&OUTPUTFORMAT=json&SRSNAME=EPSG:4326"")";;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=dank:altr_a10_ri_bodemcscheur&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";dank:altr_a10_ri_bodemcscheur
Koolstofvastlegging in de bodem bij achterlaten gewasresten;Deze kaart laat de potentiÃ«le bodem C vastlegging zien voor de maatregel gewasresten achterlaten.;Koolstofvastlegging;koolstofvastlegging;Alterra, Wageningen UR;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wfs?SERVICE=WFS&VERSION=1.1.0&REQUEST=GetFeature&TYPENAME=dank:altr_a09_ri_bodemcgewrst&OUTPUTFORMAT=json&SRSNAME=EPSG:4326"")";;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=dank:altr_a09_ri_bodemcgewrst&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";dank:altr_a09_ri_bodemcgewrst
Koolstofvastlegging in de bodem zonder grondbewerking;Deze kaart laat de potentiÃ«le koolstofvastlegging in de bodem zien bij uitvoering van de maatregel geen grondbewerking.;Koolstofvastlegging;koolstofvastlegging;Alterra, Wageningen UR;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wfs?SERVICE=WFS&VERSION=1.1.0&REQUEST=GetFeature&TYPENAME=dank:altr_a08_ri_bodemczerot&OUTPUTFORMAT=json&SRSNAME=EPSG:4326"")";;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=dank:altr_a08_ri_bodemczerot&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";dank:altr_a08_ri_bodemczerot
Koolstofvastlegging in de bodem bij akkerrandenbeheer;Deze kaart laat de potentiÃ«le vastlegging van koolstof in de bodem zien bij uitvoering van de maatregel akkerrandenbeheer.;Koolstofvastlegging;koolstofvastlegging;Alterra, Wageningen UR;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wfs?SERVICE=WFS&VERSION=1.1.0&REQUEST=GetFeature&TYPENAME=dank:altr_a07_ri_bodemcakrand&OUTPUTFORMAT=json&SRSNAME=EPSG:4326"")";;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=dank:altr_a07_ri_bodemcakrand&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";dank:altr_a07_ri_bodemcakrand
